2020/8/15,ALL,Tokyo,Osaka,Kanagawa,Fukuoka,Aichi,Chiba,Hyogo,Saitama,Okinawa,Kyoto,Kagoshima,Kochi,Hokkaido,Ishikawa,Kumamoto,Gifu,Shizuoka,Saga,Gunma,Shiga,Ibaraki,Nagasaki,Toyama,Mie,Nara,Tokushima,Miyazaki,Wakayama,Fukushima,Nagano,Oita,Akita,Okayama,Yamanashi,Kagawa,Ehime,Hiroshima,Tochigi,Niigata,Aomori,Tottori,Shimane,Yamagata,Fukui,Yamaguchi,Iwate,Miyagi
,1233,385,153,136,75,72,61,53,52,47,22,15,14,14,13,11,11,11,10,9,7,7,6,6,6,6,5,5,4,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2020/8/16,ALL,Tokyo,Osaka,Aichi,Kanagawa,Fukuoka,Okinawa,Saitama,Chiba,Hyogo,Kagoshima,Nara,Gunma,Ishikawa,Hokkaido,Shizuoka,Tochigi,Oita,Miyazaki,Shiga,Kyoto,Kochi,Saga,Tokushima,Kumamoto,Mie,Ibaraki,Kagawa,Akita,Wakayama,Hiroshima,Nagasaki,Fukui,Gifu,Okayama,Iwate,Yamaguchi,Yamanashi,Ehime,Nagano,Aomori,Yamagata,Tottori,Shimane,Niigata,Toyama,Fukushima,Miyagi
,1015,260,147,83,80,73,59,56,48,37,27,25,19,18,8,7,7,6,6,6,6,5,5,4,4,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2020/8/19,ALL,Osaka,Tokyo,Fukuoka,Kanagawa,Okinawa,Saitama,Aichi,Hyogo,Chiba,Kyoto,Miyazaki,Gunma,Mie,Ishikawa,Ibaraki,Kumamoto,Oita,Nara,Yamanashi,Toyama,Hokkaido,Shiga,Wakayama,Shizuoka,Yamaguchi,Fukushima,Saga,Niigata,Gifu,Tochigi,Kochi,Nagano,Kagoshima,Hiroshima,Miyagi,Tottori,Tokushima,Ehime,Shimane,Okayama,Iwate,Nagasaki,Aomori,Kagawa,Akita,Fukui,Yamagata
,1078,187,186,103,95,69,62,57,49,46,38,19,15,15,14,13,10,10,10,10,8,8,7,6,6,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0
2020/8/20,ALL,Tokyo,Osaka,Kanagawa,Aichi,Saitama,Fukuoka,Chiba,Okinawa,Kyoto,Hyogo,Hokkaido,Ishikawa,Kumamoto,Mie,Gunma,Nara,Yamaguchi,Gifu,Fukushima,Miyazaki,Toyama,Hiroshima,Shiga,Oita,Saga,Wakayama,Yamanashi,Ibaraki,Kagoshima,Kagawa,Nagano,Nagasaki,Okayama,Tochigi,Shizuoka,Miyagi,Niigata,Tokushima,Fukui,Yamagata,Iwate,Akita,Ehime,Kochi,Shimane,Aomori,Tottori
,1176,339,132,104,82,70,70,65,42,41,34,25,24,15,15,14,12,11,9,7,6,6,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0
2020/8/21,ALL,Tokyo,Osaka,Aichi,Fukuoka,Kanagawa,Chiba,Saitama,Hyogo,Kyoto,Okinawa,Kumamoto,Mie,Ibaraki,Gunma,Hokkaido,Nara,Nagano,Shiga,Ishikawa,Tokushima,Saga,Miyazaki,Wakayama,Hiroshima,Toyama,Oita,Miyagi,Tochigi,Fukushima,Okayama,Gifu,Fukui,Nagasaki,Yamanashi,Iwate,Ehime,Kochi,Niigata,Yamagata,Tottori,Shimane,Aomori,Shizuoka,Yamaguchi,Akita,Kagoshima,Kagawa
,1035,258,166,90,87,82,53,51,39,38,30,13,13,11,10,10,10,9,8,8,7,7,6,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
